corpus,input_tokens,old_tps,new_tps,gain_percent,saved_ms,exact_runs
code,1024,666.6998,674.6284,1.1892308952245134,18.051010552029958,16
structured,1024,681.9894,686.8204,0.7083687810983452,10.561270920967036,16
prose,1024,668.4517,679.6429,1.6741972531448601,25.224687659068046,16
