ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes,gen_first64_tps,gen_middle64_tps,gen_final64_tps
2048,2048,619.08,128,41.03,26.587,127,41.06,52184460,41.82,41.43,40.26
4096,2048,529.59,128,32.27,32.324,127,32.28,80373132,33.62,32.38,31.03
8192,4096,556.29,128,35.46,29.601,127,35.48,136750476,35.49,35.48,35.43
16384,8192,555.86,128,32.42,32.811,127,32.44,249505164,33.02,32.54,31.85
32768,16384,433.24,128,28.72,35.259,127,28.72,475014540,29.75,28.58,27.75
65536,32768,340.16,128,29.03,33.478,127,29.03,926033292,29.37,29.15,28.71
100000,34464,340.86,128,26.27,41.583,127,26.28,0,27.61,26.54,25.05
