ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes,gen_first64_tps,gen_middle64_tps,gen_final64_tps
2048,2048,591.37,128,38.45,33.837,127,38.54,52184460,39.71,39.24,37.27
4096,2048,494.99,128,36.09,35.091,127,36.17,80373132,37.75,36.47,34.58
8192,4096,548.61,128,35.35,30.257,127,35.37,136750476,36.28,35.62,34.47
16384,8192,545.49,128,34.57,33.426,127,34.62,249505164,34.97,35.13,34.18
32768,16384,506.73,128,32.90,34.702,127,32.94,475014540,33.74,33.06,32.11
65536,32768,417.43,128,28.29,33.335,127,28.28,926033292,29.31,26.94,27.34
100000,34464,338.61,128,26.61,40.734,127,26.63,0,28.09,26.45,25.28
