ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes,gen_first64_tps,gen_middle64_tps,gen_final64_tps
2048,2048,763.72,128,41.99,224.604,127,44.97,52184460,38.84,45.51,45.69
4096,2048,688.87,128,41.49,43.637,127,41.75,80373132,41.47,41.72,41.51
8192,4096,704.40,128,41.30,27.630,127,41.35,136750476,41.23,41.73,41.38
16384,8192,641.59,128,40.09,25.861,127,40.10,249505164,40.20,40.16,39.99
32768,16384,580.28,128,38.53,26.742,127,38.54,475014540,38.49,38.65,38.56
65536,32768,484.45,128,30.96,41.518,127,31.03,926033292,31.55,31.39,30.39
100000,34464,357.44,128,27.20,43.916,127,27.24,0,27.74,27.44,26.67
