ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes,gen_first64_tps,gen_middle64_tps,gen_final64_tps
2048,2048,478.23,128,32.07,38.575,127,32.13,202327452,33.02,32.84,31.18
4096,2048,416.48,128,31.07,37.601,127,31.11,251356572,31.72,31.80,30.45
8192,4096,396.37,128,32.16,33.972,127,32.18,349414812,32.20,32.39,32.12
16384,8192,361.09,128,27.02,38.353,127,27.03,545531292,27.52,26.80,26.54
32768,16384,341.26,128,29.67,34.438,127,29.68,937764252,31.06,29.62,28.41
65536,32768,326.55,128,27.03,44.490,127,27.07,1722230172,28.41,26.77,25.77
100000,34464,296.56,128,26.43,39.578,127,26.44,0,28.01,26.13,25.02
