ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes,gen_first64_tps,gen_middle64_tps,gen_final64_tps
2048,2048,436.34,128,29.97,35.664,127,29.98,202327452,31.03,29.56,28.98
4096,2048,378.43,128,29.88,36.318,127,29.90,251356572,31.28,29.71,28.60
8192,4096,372.83,128,29.64,38.080,127,29.67,349414812,30.64,29.75,28.70
16384,8192,372.56,128,29.64,40.315,127,29.68,545531292,31.20,29.77,28.22
32768,16384,355.09,128,28.76,42.495,127,28.81,937764252,30.12,28.54,27.53
65536,32768,316.63,128,27.12,43.091,127,27.15,1722230172,29.21,26.76,25.31
100000,34464,254.20,128,22.74,46.842,127,22.75,0,23.64,22.60,21.90
