ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,gen_first_ms,gen_steady_tokens,gen_steady_tps,kvcache_bytes,gen_first64_tps,gen_middle64_tps,gen_final64_tps
2048,2048,428.65,128,29.84,36.898,127,29.86,202327452,29.82,30.25,29.85
4096,2048,372.78,128,29.31,42.964,127,29.37,251356572,29.28,29.57,29.34
8192,4096,368.54,128,30.35,36.612,127,30.38,349414812,31.79,30.52,29.03
16384,8192,364.47,128,29.81,41.430,127,29.87,545531292,31.09,30.12,28.63
32768,16384,331.25,128,24.70,37.585,127,24.69,937764252,26.05,24.26,23.49
65536,32768,297.18,128,26.93,42.257,127,26.96,1722230172,28.96,26.46,25.16
100000,34464,279.61,128,22.73,47.120,127,22.74,0,23.61,22.77,21.91
